;product_id;origin;brand;name;reference;type;category;price;areaApplication;analysisDate;quantity;petitionDate;priority;evaluators;packaging;testedBy;consistency;brightness;firmness;stickiness;aqueousSensation;oilyFeeling;freshSensation;extensibility;easyAbsorption;glossSkin;skinStickiness;amountResidue;smoothnessSkin;silkyRes;waxyRes;greasyRes;oilyRes;homogeneity
124;64ff2f80a3a41f5c7f676b7a;COMPETITOR;CHANEL;SUBLIMAGE LA CRÈME THE REVITALISING RADIANCE FRESH BODY CREAM;C0027;BODY CREAM;NICHE;280.0;;;;;;;;19.0;6.97;4.58;4.82;4.77;4.79;5.41;4.24;4.98;61.37;4.42;3.74;4.02;6.09;61.9;4.8;23.8;9.5;
125;64ff2f80a3a41f5c7f676b7b;PUIG;CHARLOTTE TILBURY ;PUIG_00038;7275A0003;BODY CREAM;PRESTIGE;;BODY;;;;;;TUBE;21.0;7.09;6.14;4.66;4.82;4.64;5.49;4.46;4.82;61.86;4.61;3.36;3.65;6.61;72.73;4.55;13.64;9.09;
126;64ff2f80a3a41f5c7f676b7c;PUIG;CHARLOTTE TILBURY ;PUIG_00039;7275A0010;BODY CREAM;PRESTIGE;;BODY;;;;;;TUBE;15.0;7.29;5.73;4.8;4.69;3.9;5.98;3.93;4.41;69.73;4.67;3.92;4.15;6.04;50.0;6.3;43.8;0.0;
127;64ff2f80a3a41f5c7f676b7d;PUIG;CHARLOTTE TILBURY ;PUIG_00040;7275D0002;BODY CREAM;PRESTIGE;;BODY;;;;;;TUBE;19.0;8.61;4.91;6.73;6.71;3.13;7.04;2.54;3.87;51.2;6.66;3.54;4.96;5.78;28.57;0.0;47.62;23.81;
128;64ff2f80a3a41f5c7f676b7e;PUIG;CHARLOTTE TILBURY ;PUIG_00041;7275A0012;BODY CREAM;PRESTIGE;;BODY;;;;;;TUBE;19.0;8.31;5.13;6.24;6.25;3.23;6.86;2.67;3.99;52.94;5.19;4.32;4.24;5.62;57.14;4.76;33.33;4.76;
129;64ff2f80a3a41f5c7f676b7f;PUIG;CHARLOTTE TILBURY ;PUIG_00042;7275A0018;BODY CREAM;PRESTIGE;;BODY;;;;;;TUBE;19.0;8.46;3.61;6.64;6.56;3.19;6.81;2.86;3.94;57.4;6.45;4.69;5.02;5.4;40.0;2.5;50.0;7.5;
130;64ff2f80a3a41f5c7f676b80;PUIG;CHARLOTTE TILBURY ;PUIG_00043;7275A0017;BODY CREAM;PRESTIGE;;BODY;;;;;;TUBE;17.0;8.86;3.81;6.71;6.74;2.88;7.05;2.25;3.63;51.07;6.02;4.86;4.85;5.24;27.8;0.0;66.7;5.6;
131;64ff2f80a3a41f5c7f676b81;COMPETITOR;TATCHA;THE WATER CREAM      ;7274D0001;FACIAL CREAM  ;;137.0;;;;;;;;17.0;6.49;6.64;4.1;4.15;4.68;5.09;5.12;5.64;53.87;3.04;3.34;3.11;6.65;76.5;11.8;11.8;0.0;
132;64ff2f80a3a41f5c7f676b82;COMPETITOR;LA MER;THE MOISTURIZING COOL GEL CREAM    ;7274D0002;FACIAL CREAM  ;;345.0;;;;;;;;17.0;6.07;6.65;3.67;3.86;5.54;4.38;5.28;6.26;75.41;3.75;3.43;3.42;6.64;73.7;10.5;0.0;15.8;
133;64ff2f81a3a41f5c7f676b83;COMPETITOR;CLINIQUE;MOISTURE SURGE INTENSE      ;7274D0003;FACIAL CREAM  ;;35.0;;19/01/2022;;;;;;39.0;6.34;7.02;4.05;4.18;4.84;5.27;4.45;5.04;53.43;4.97;3.63;3.97;6.51;59.6;0.0;27.7;12.7;
134;64ff2f81a3a41f5c7f676b84;PUIG;CHARLOTTE TILBURY ;PUIG_00044;7348A0001;FACIAL CREAM  ;PRESTIGE;;FACE;;;;;;;18.0;7.19;7.03;4.49;4.48;4.59;5.43;4.96;5.01;54.59;3.79;2.78;3.31;6.59;88.9;5.6;5.6;0.0;
135;64ff2f81a3a41f5c7f676b85;PUIG;CHARLOTTE TILBURY ;PUIG_00045;7275A0019;BODY CREAM;PRESTIGE;;BODY;;;;;;TUBE;18.0;7.84;5.19;6.2;6.29;3.55;6.53;3.1;4.11;49.44;5.45;4.78;4.53;5.65;27.78;0.0;72.22;0.0;
136;64ff2f81a3a41f5c7f676b86;PUIG;CHARLOTTE TILBURY ;PUIG_00046;7275A0020;BODY CREAM;PRESTIGE;;BODY;;;;;;TUBE;18.0;7.85;5.29;6.05;5.79;3.54;6.33;3.49;4.21;46.93;4.42;3.96;3.81;5.6;52.63;5.26;42.11;0.0;
137;64ff2f81a3a41f5c7f676b87;COMPETITOR;SHISEIDO;ULTIMUNE  ;7273B0009;FACIAL SERUM;;144.0;;;;;;;;16.0;3.05;7.6;1.55;1.87;7.7;2.42;6.7;7.31;67.75;2.74;3.0;2.71;6.73;70.6;29.4;0.0;0.0;
138;64ff2f81a3a41f5c7f676b88;COMPETITOR;LANCOME;ABSOLUE THE SERUM;7273B0008;FACIAL SERUM;PRESTIGE;88.0;FACE;;;;;;;16.0;5.06;7.38;2.46;2.81;6.57;3.73;6.31;6.54;70.33;5.06;5.06;4.13;4.64;38.9;38.9;22.2;0.0;
139;64ff2f81a3a41f5c7f676b89;COMPETITOR;LANCOME;GENEFIQUE ADVANCED;7273B0010;FACIAL SERUM;PRESTIGE;88.0;FACE;;;;;;;18.0;2.15;7.64;1.29;1.77;6.26;2.19;6.67;7.72;58.78;1.39;1.99;1.55;7.81;83.3;16.7;0.0;0.0;
140;64ff2f81a3a41f5c7f676b8a;COMPETITOR;PIXIBEAUTY;GLOW MIST ;7322A0001;FACIAL MIST;;20.0;;;;;;;;18.0;0.23;8.99;0.2;0.26;5.96;0.76;4.14;9.16;57.5;3.93;2.51;2.66;6.96;77.8;0.0;5.6;16.7;
141;64ff2f81a3a41f5c7f676b8b;COMPETITOR;CHANEL;SUBLIMAGE LA CREME;7274B0009;FACIAL CREAM  ;NICHE;360.0;;;;;;;;18.0;6.73;6.41;4.24;4.36;4.74;5.41;4.14;4.73;49.06;4.51;3.92;3.74;6.49;80.0;0.0;20.0;0.0;
142;64ff2f82a3a41f5c7f676b8c;COMPETITOR;DIOR;PRESTIGE LA CREME;7274B0008;FACIAL CREAM  ;;370.0;;;;;;;;10.0;7.15;6.47;4.66;4.41;4.62;5.42;4.63;5.24;50.89;4.69;3.9;3.61;6.22;81.8;0.0;9.1;9.1;
143;64ff2f82a3a41f5c7f676b8d;COMPETITOR;SHISEIDO;VITAL PERFECTION WHITE REVITALIZING SOFTENER ENRICHED ;7273B0007;FACIAL MIST;PRESTIGE;;FACE;11/05/2022;;;;;;16.0;0.25;9.86;0.23;0.25;9.04;0.43;3.69;9.26;42.0;2.19;3.76;2.2;5.75;40.0;55.0;5.0;0.0;
144;64ff2f82a3a41f5c7f676b8e;PUIG;CHARLOTTE TILBURY ;PUIG_00047;BAM0OP;FACIAL CREAM  ;PRESTIGE;90.0;FACE;;;;;;GLASS JAR;21.0;8.15;5.08;6.13;6.31;3.28;6.59;3.14;4.21;56.13;6.19;5.06;4.57;5.63;43.4;3.77;45.28;7.55;HOMOGENI
145;64ff2f82a3a41f5c7f676b8f;PUIG;CHARLOTTE TILBURY ;PUIG_00048;6759F0022;FACIAL CREAM  ;PRESTIGE;90.0;FACE;26/04/2021;;;;;GLASS JAR;22.0;8.21;4.17;6.5;6.36;3.31;6.51;2.55;3.86;63.95;6.55;4.76;4.6;5.46;43.48;0.0;52.17;4.35;
146;64ff2f82a3a41f5c7f676b90;PUIG;CHARLOTTE TILBURY ;PUIG_00049;6759G0066;FACIAL CREAM  ;PRESTIGE;90.0;FACE;26/04/2021;;;;;GLASS JAR;22.0;7.6;5.6;5.31;5.33;3.96;5.94;3.6;4.27;51.05;4.68;3.66;3.76;6.27;66.67;0.0;25.0;8.33;
147;64ff2f82a3a41f5c7f676b91;PUIG;CHARLOTTE TILBURY ;PUIG_00050;6759A0001;FACIAL CREAM  ;PRESTIGE;90.0;FACE;16/09/2020;;;;;GLASS JAR;12.0;6.64;5.77;4.38;4.18;4.23;5.45;3.88;4.13;61.92;3.26;2.63;3.48;6.18;61.5;15.4;23.1;0.0;
148;64ff2f82a3a41f5c7f676b92;PUIG;CHARLOTTE TILBURY ;PUIG_00051;6759A0004;FACIAL CREAM  ;PRESTIGE;90.0;FACE;23/09/2020;;;;;GLASS JAR;14.0;7.96;3.97;5.8;5.74;3.85;5.95;4.08;4.54;67.0;4.51;3.56;3.7;5.91;57.1;0.0;35.7;7.1;
149;64ff2f82a3a41f5c7f676b93;PUIG;CHARLOTTE TILBURY ;PUIG_00052;6759B0001;FACIAL CREAM  ;PRESTIGE;90.0;FACE;16/09/2020;;;;;GLASS JAR;12.0;5.75;6.6;3.55;4.03;3.93;5.94;4.31;4.43;63.17;2.59;2.82;3.09;6.37;75.0;8.3;16.7;0.0;
150;64ff2f83a3a41f5c7f676b94;PUIG;CHARLOTTE TILBURY ;PUIG_00053;6759B0002;FACIAL CREAM  ;PRESTIGE;90.0;FACE;23/09/2020;;;;;GLASS JAR;14.0;8.4;5.36;6.82;6.59;3.01;6.84;3.06;3.66;55.14;4.69;4.09;4.17;5.23;50.0;12.5;35.7;0.0;
